,country_code,timezone,tenure,first_activity_dt,last_activity_dt,num_sessions,game_level_tries,in_game_powers,powers_successfully_applied,near_win_attempts,player_id,session_duration
0,US,America/Merida,2123,2017-06-28,2023-04-18,24.0,27.0,,,75.0,eiyybadsvdphipvfdrpjurruc,78
1,US,GMT+00:00,104,2023-01-07,2023-02-07,48.0,,,260.0,28.0,qkhkgkswastbevocfhqhxkhme,71
2,US,GMT-06:00,14,2023-04-07,2023-04-08,1.0,6.0,0.0,0.0,0.0,uklvboopgbzcpdoqjifqpypif,70
3,DE,GMT+02:00,1830,2018-04-17,2023-04-21,,,,47.0,255.0,ztenvvydegzahvvlpfzskqqep,71
4,US,GMT+03:30,48,2023-03-04,2023-03-04,15.0,542.0,,,,imkefcpoywzmaywylmedhrfao,60
5,US,GMT+03:30,48,2023-03-04,2023-03-04,64.0,46.0,349.0,,,iccqobyrznmgnwxprvdknvvni,87
6,US,GMT+03:30,49,2023-03-03,2023-03-03,149.0,19.0,,178.0,6.0,zixqtivyzflikoikogftlwqnd,85
7,US,GMT+03:30,49,2023-03-03,2023-03-03,,,349.0,176.0,662.0,ywtxjdegmstwxzgiiybaahduf,94
8,ES,GMT+02:00,2254,2017-02-17,2023-04-08,29.0,,278.0,25.0,3.0,mymtcmdfphuifapoawivqtlnh,59
9,US,GMT-07:00,97,2023-01-14,2023-04-03,,,,,,opnpblcjkjaskbbkwfrgqawai,80
10,US,GMT+05:30,13,2023-04-08,2023-04-08,,134.0,200.0,74.0,115.0,whtztxnmokakubmawfwcwsrge,71
11,FR,Europe/Paris,1433,2019-05-19,2023-04-18,9.0,399.0,231.0,,,uctozdeqmhgwcmsrihcfyyilz,74
12,US,America/Mexico_City,1213,2019-12-25,2023-04-10,,,13.0,,,pofaekrgbiyhnrgnrybneaacf,73
13,US,GMT+02:00,36,2023-03-16,2023-03-16,14.0,672.0,693.0,,4.0,cayuaidpzdoqokpvluhyxgnnz,81
14,US,GMT+02:00,36,2023-03-16,2023-03-16,,248.0,,,,jmqfatcrlbylxfmlnbyleurtq,87
15,US,GMT+02:00,57,2023-02-23,2023-02-23,,72.0,,,,vbxvobvpkxtllskrmwojfqwze,80
16,US,GMT+02:00,66,2023-02-14,2023-02-14,64.0,13.0,245.0,,,kfqlqcybixdjhsynecywknyaq,86
17,US,GMT+02:00,72,2023-02-08,2023-02-08,67.0,114.0,,,71.0,jlqbabzjzwqmngygmhlgfsghs,76
18,US,GMT-03:00,21,2023-03-31,2023-04-20,16.0,170.0,109.0,44.0,26.0,yakihzklpuaumqvndxumjigrm,80
19,US,GMT-04:00,16,2023-04-05,2023-04-10,6.0,108.0,21.0,11.0,3.0,bszfrsaubdcerlqzaymzzvadz,70
20,US,America/Bogota,2279,2017-01-23,2023-04-12,36.0,57.0,,38.0,,ufcmbtbdzurhjdkfodkpzzifc,75
21,FR,GMT+02:00,449,2022-01-27,2023-04-03,1.0,,,,,ilbzyugdnmhxbqtzobtfexjjx,76
22,DE,GMT+02:00,253,2022-08-11,2023-04-01,305.0,106.0,693.0,,43.0,hardehkqkorqchjnafhkyflku,78
23,FR,GMT+01:00,2278,2017-01-24,2023-02-18,22.0,984.0,140.0,,,hcwslzahwdknpphngafjchwbu,85
24,GB,GMT+01:00,11,2023-04-10,2023-04-10,,,,90.0,,rnxrxjwwknldcskuwvkybnbli,83
25,US,GMT+08:00,319,2022-06-06,2023-02-02,17.0,171.0,104.0,26.0,251.0,yurpmxunkxkdiqdpojlukmfdj,78
26,US,America/Chicago,1573,2018-12-30,2023-02-17,,,91.0,18.0,,thzkakhzbdmjdvpbpyqtkxyss,58
27,IT,GMT+01:00,32,2023-03-20,2023-03-27,1.0,3.0,0.0,0.0,0.0,tgdqdnsynugnitoetcudqwjba,69
28,US,GMT-06:00,23,2023-03-29,2023-04-21,46.0,196.0,138.0,48.0,55.0,nejeksasdctvumertjzntfzsy,89
29,US,GMT+05:30,485,2021-12-22,2023-04-09,10.0,927.0,75.0,178.0,,nvtkyjolkzplhhlqmthalswrw,66
30,US,GMT+05:00,30,2023-03-22,2023-03-26,3.0,14.0,0.0,0.0,0.0,poftuduvauitaxgjzoswrfdhs,70
31,GB,GMT+01:00,538,2021-10-30,2023-03-30,17.0,,36.0,305.0,,ufloxbjlpskyihvwmszthrztg,81
32,US,GMT-04:00,81,2023-01-30,2023-04-21,22.0,61.0,13.0,5.0,21.0,ftjhfisjapecxvhprbgcfuntd,71
33,US,GMT+03:00,11,2023-04-10,2023-04-10,103.0,31.0,,100.0,,cxvbtatnhrrxcpkpizzbirrhu,73
34,FR,GMT+01:00,81,2023-01-30,2023-02-03,,549.0,391.0,130.0,78.0,wtygmpqcgpkcoihchoajnwcfh,72
35,GB,GMT+01:00,104,2023-01-07,2023-04-21,19.0,95.0,41.0,23.0,9.0,pcsrofofxhxmbukjdeodohyrf,66
36,US,GMT-05:00,95,2023-01-16,2023-04-02,,,64.0,145.0,56.0,szfostyhwxlgbfrzyizxjlokb,80
37,DE,Europe/Berlin,2278,2017-01-24,2023-04-15,,,57.0,12.0,55.0,nygbxhmmalvkufikfwilshykv,70
38,US,GMT-03:00,933,2020-09-30,2023-03-16,,727.0,,534.0,,xqijljfqocqvyldzgvoiezmzg,74
39,DE,Europe/Berlin,2290,2017-01-12,2023-01-29,,55.0,120.0,131.0,32.0,ububmonnhpmmjfscurbdrbbyd,81
40,US,GMT-06:00,38,2023-03-14,2023-03-14,,,47.0,37.0,65.0,lhyormynuhwwzabytmhahycaw,74
41,US,GMT-04:00,221,2022-09-12,2023-04-07,,,,13.0,,honhnlgklysphsjuvglkbqfgh,80
42,FR,GMT+01:00,249,2022-08-15,2023-03-10,,,4.0,52.0,,cyafvhtmuhhvwbhkjdnkgparg,78
43,US,GMT-04:00,476,2021-12-31,2023-03-28,41.0,337.0,1070.0,,,dtlrqvavbanhhwlrgzucfzlla,85
44,US,America/Chicago,77,2023-02-03,2023-04-08,2.0,6.0,0.0,0.0,0.0,bhpwivwzlhrpowxmigrsokgua,81
